year,week,matchup_type,home_team_id,home_team,home_owner_ids,home_owner_names,home_score,home_projected,away_team_id,away_team,away_owner_ids,away_owner_names,away_score,away_projected,is_bye,winner,score_difference,home_starters_ids,home_bench_ids,away_starters_ids,away_bench_ids
2014,9,REGULAR,8,Team Bandwagon,{1328661D-EEAA-4F68-A866-1DEEAA6F68CC},Carson,79.0,,9,Team Swag monster,{ED7135CE-1C99-405A-B135-CE1C99E05A9F},Will,51.0,,False,HOME,28.0,,,,
2014,10,REGULAR,1,Psycho Monkey Poo Flingers2,{0A038966-B1EC-4363-93A4-1A746D1C05AA},Joey,64.0,,7,Dunn's Dominators,{A928F5E8-8048-42E3-A4CE-63B009FB6A47},Jack,94.0,,False,AWAY,-30.0,,,,
2014,10,REGULAR,2,Tune Squad,{700F91F4-F9CD-4A3A-8F91-F4F9CDCA3AC2},Joel,94.0,,5,dhong  dynasty,{77FBFE61-CB95-4C17-BBFE-61CB953C17C0},Dillon,156.0,,False,AWAY,-62.0,,,,
2014,10,REGULAR,6,Detroit Ballas,{ED2967D6-F92F-447A-A967-D6F92F147A25},Chris,63.0,,8,Team Bandwagon,{1328661D-EEAA-4F68-A866-1DEEAA6F68CC},Carson,123.0,,False,AWAY,-60.0,,,,
2014,10,REGULAR,3,The Brown Limes,{5B91BA7E-444A-403C-91BA-7E444AA03C4A},Cameron,32.0,,4,The Idks,{02AB2B26-BDB6-4013-AB2B-26BDB63013D0},Ben,97.0,,False,AWAY,-65.0,,,,
2014,10,REGULAR,10,$wag Money,{EAAD1FEA-A6D1-4BBE-A09A-EC86EF223450},Jack,44.0,,9,Team Swag monster,{ED7135CE-1C99-405A-B135-CE1C99E05A9F},Will,58.0,,False,AWAY,-14.0,,,,
2014,11,REGULAR,2,Tune Squad,{700F91F4-F9CD-4A3A-8F91-F4F9CDCA3AC2},Joel,69.0,,8,Team Bandwagon,{1328661D-EEAA-4F68-A866-1DEEAA6F68CC},Carson,106.0,,False,AWAY,-37.0,,,,
2014,11,REGULAR,1,Psycho Monkey Poo Flingers2,{0A038966-B1EC-4363-93A4-1A746D1C05AA},Joey,95.0,,3,The Brown Limes,{5B91BA7E-444A-403C-91BA-7E444AA03C4A},Cameron,60.0,,False,HOME,35.0,,,,
2014,11,REGULAR,9,Team Swag monster,{ED7135CE-1C99-405A-B135-CE1C99E05A9F},Will,66.0,,7,Dunn's Dominators,{A928F5E8-8048-42E3-A4CE-63B009FB6A47},Jack,71.0,,False,AWAY,-5.0,,,,
2014,11,REGULAR,5,dhong  dynasty,{77FBFE61-CB95-4C17-BBFE-61CB953C17C0},Dillon,77.0,,4,The Idks,{02AB2B26-BDB6-4013-AB2B-26BDB63013D0},Ben,80.0,,False,AWAY,-3.0,,,,
2014,11,REGULAR,10,$wag Money,{EAAD1FEA-A6D1-4BBE-A09A-EC86EF223450},Jack,52.0,,6,Detroit Ballas,{ED2967D6-F92F-447A-A967-D6F92F147A25},Chris,81.0,,False,AWAY,-29.0,,,,
2014,12,REGULAR,3,The Brown Limes,{5B91BA7E-444A-403C-91BA-7E444AA03C4A},Cameron,80.0,,9,Team Swag monster,{ED7135CE-1C99-405A-B135-CE1C99E05A9F},Will,56.0,,False,HOME,24.0,,,,
2014,12,REGULAR,4,The Idks,{02AB2B26-BDB6-4013-AB2B-26BDB63013D0},Ben,99.0,,2,Tune Squad,{700F91F4-F9CD-4A3A-8F91-F4F9CDCA3AC2},Joel,57.0,,False,HOME,42.0,,,,
2014,12,REGULAR,8,Team Bandwagon,{1328661D-EEAA-4F68-A866-1DEEAA6F68CC},Carson,143.0,,10,$wag Money,{EAAD1FEA-A6D1-4BBE-A09A-EC86EF223450},Jack,47.0,,False,HOME,96.0,,,,
2014,12,REGULAR,5,dhong  dynasty,{77FBFE61-CB95-4C17-BBFE-61CB953C17C0},Dillon,63.0,,1,Psycho Monkey Poo Flingers2,{0A038966-B1EC-4363-93A4-1A746D1C05AA},Joey,118.0,,False,AWAY,-55.0,,,,
2014,12,REGULAR,7,Dunn's Dominators,{A928F5E8-8048-42E3-A4CE-63B009FB6A47},Jack,91.0,,6,Detroit Ballas,{ED2967D6-F92F-447A-A967-D6F92F147A25},Chris,94.0,,False,AWAY,-3.0,,,,
2014,13,REGULAR,2,Tune Squad,{700F91F4-F9CD-4A3A-8F91-F4F9CDCA3AC2},Joel,39.0,,10,$wag Money,{EAAD1FEA-A6D1-4BBE-A09A-EC86EF223450},Jack,69.0,,False,AWAY,-30.0,,,,
2014,13,REGULAR,3,The Brown Limes,{5B91BA7E-444A-403C-91BA-7E444AA03C4A},Cameron,54.0,,5,dhong  dynasty,{77FBFE61-CB95-4C17-BBFE-61CB953C17C0},Dillon,82.0,,False,AWAY,-28.0,,,,
